epoch: 10, wins per 10: 5, avg checkers diff: -2.5
epoch: 1220, loss = 3.564, wins per 10: 10, avg checkers diff: 10.1
epoch: 1230, loss = 2.902, wins per 10: 7, avg checkers diff: 6.6
epoch: 1240, loss = 2.142, wins per 10: 10, avg checkers diff: 12.0
epoch: 1250, loss = 2.211, wins per 10: 7, avg checkers diff: 4.0
epoch: 1260, loss = 2.754, wins per 10: 7, avg checkers diff: 5.2
epoch: 1270, loss = 2.491, wins per 10: 10, avg checkers diff: 11.9
epoch: 1280, loss = 3.031, wins per 10: 6, avg checkers diff: 2.7
epoch: 1290, loss = 3.320, wins per 10: 10, avg checkers diff: 11.7
epoch: 1300, loss = 3.353, wins per 100: 76, avg checkers diff: 6.92
epoch: 1310, loss = 3.962, wins per 10: 7, avg checkers diff: 7.6
epoch: 1320, loss = 1.914, wins per 10: 7, avg checkers diff: 4.3
epoch: 1330, loss = 1.649, wins per 10: 8, avg checkers diff: 10.1
epoch: 1340, loss = 1.990, wins per 10: 9, avg checkers diff: 8.7
epoch: 1350, loss = 2.084, wins per 10: 8, avg checkers diff: 8.0
epoch: 1360, loss = 4.933, wins per 10: 9, avg checkers diff: 7.6
epoch: 1370, loss = 2.771, wins per 10: 8, avg checkers diff: 7.3
epoch: 1380, loss = 3.496, wins per 10: 9, avg checkers diff: 9.9
epoch: 1390, loss = 3.549, wins per 10: 8, avg checkers diff: 6.2
epoch: 1400, loss = 2.731, wins per 100: 80, avg checkers diff: 7.71
finished testing: 76.0 %
epoch: 1410, loss = 6.612, wins per 10: 6, avg checkers diff: 2.0
epoch: 1420, loss = 3.875, wins per 10: 5, avg checkers diff: 0.9
epoch: 1430, loss = 2.104, wins per 10: 8, avg checkers diff: 6.3
epoch: 1440, loss = 2.393, wins per 10: 7, avg checkers diff: 7.2
epoch: 1450, loss = 4.400, wins per 10: 9, avg checkers diff: 6.2
epoch: 1460, loss = 2.447, wins per 10: 7, avg checkers diff: 7.3
epoch: 1470, loss = 6.885, wins per 10: 7, avg checkers diff: 6.4
epoch: 1480, loss = 2.545, wins per 10: 8, avg checkers diff: 7.6
epoch: 1490, loss = 2.992, wins per 10: 8, avg checkers diff: 3.4
epoch: 1500, loss = 3.655, wins per 100: 72, avg checkers diff: 5.25
epoch: 1510, loss = 2.959, wins per 10: 8, avg checkers diff: 7.6
epoch: 1520, loss = 2.301, wins per 10: 10, avg checkers diff: 12.0
epoch: 1530, loss = 2.952, wins per 10: 7, avg checkers diff: 6.0
epoch: 1540, loss = 5.035, wins per 10: 10, avg checkers diff: 12.3
epoch: 1550, loss = 3.546, wins per 10: 7, avg checkers diff: 6.0
epoch: 1560, loss = 2.707, wins per 10: 6, avg checkers diff: 6.5
epoch: 1570, loss = 4.751, wins per 10: 6, avg checkers diff: 2.3
epoch: 1580, loss = 2.624, wins per 10: 8, avg checkers diff: 9.9
epoch: 1590, loss = 2.735, wins per 10: 8, avg checkers diff: 6.6
epoch: 1600, loss = 2.478, wins per 100: 80, avg checkers diff: 8.2
finished testing: 86.0 %
epoch: 1610, loss = 2.694, wins per 10: 6, avg checkers diff: 5.1
epoch: 1620, loss = 3.562, wins per 10: 8, avg checkers diff: 8.5
epoch: 1630, loss = 2.411, wins per 10: 9, avg checkers diff: 9.4
epoch: 1640, loss = 1.996, wins per 10: 7, avg checkers diff: 7.1
epoch: 1650, loss = 2.042, wins per 10: 6, avg checkers diff: 5.8
epoch: 1660, loss = 1.894, wins per 10: 8, avg checkers diff: 6.7
