epoch: 10, wins per 10: 6, avg checkers diff: 2.3
epoch: 1210, loss = 67.597, wins per 10: 8, avg checkers diff: 7.6
epoch: 1220, loss = 39.556, wins per 10: 6, avg checkers diff: 5.6
epoch: 1230, loss = 35.975, wins per 10: 8, avg checkers diff: 10.1
epoch: 1240, loss = 48.191, wins per 10: 10, avg checkers diff: 14.3
epoch: 1250, loss = 42.496, wins per 10: 9, avg checkers diff: 9.7
epoch: 1260, loss = 54.545, wins per 10: 7, avg checkers diff: 5.8
epoch: 1270, loss = 35.111, wins per 10: 6, avg checkers diff: 3.3
epoch: 1280, loss = 44.997, wins per 10: 8, avg checkers diff: 8.4
epoch: 1290, loss = 25.813, wins per 10: 7, avg checkers diff: 5.4
epoch: 1300, loss = 37.395, wins per 100: 77, avg checkers diff: 7.99
epoch: 1310, loss = 33.619, wins per 10: 9, avg checkers diff: 11.9
epoch: 1320, loss = 25.665, wins per 10: 9, avg checkers diff: 10.6
epoch: 1330, loss = 42.398, wins per 10: 7, avg checkers diff: 6.8
epoch: 1340, loss = 53.066, wins per 10: 8, avg checkers diff: 8.6
epoch: 1350, loss = 64.828, wins per 10: 7, avg checkers diff: 4.9
epoch: 1360, loss = 35.260, wins per 10: 10, avg checkers diff: 11.4
epoch: 1370, loss = 38.754, wins per 10: 8, avg checkers diff: 10.6
epoch: 1380, loss = 89.751, wins per 10: 6, avg checkers diff: 4.0
epoch: 1390, loss = 67.326, wins per 10: 7, avg checkers diff: 6.5
epoch: 1400, loss = 23.263, wins per 100: 77, avg checkers diff: 8.05
finished testing: 67.0 %
epoch: 1410, loss = 28.435, wins per 10: 9, avg checkers diff: 10.6
epoch: 1420, loss = 50.670, wins per 10: 5, avg checkers diff: 2.3
epoch: 1430, loss = 68.919, wins per 10: 8, avg checkers diff: 9.4
epoch: 1440, loss = 54.611, wins per 10: 9, avg checkers diff: 9.4
epoch: 1450, loss = 39.792, wins per 10: 9, avg checkers diff: 8.0
epoch: 1460, loss = 80.727, wins per 10: 7, avg checkers diff: 6.2
epoch: 1470, loss = 62.793, wins per 10: 10, avg checkers diff: 10.0
epoch: 1480, loss = 26.186, wins per 10: 9, avg checkers diff: 9.5
epoch: 1490, loss = 53.990, wins per 10: 6, avg checkers diff: 3.8
epoch: 1500, loss = 54.601, wins per 100: 81, avg checkers diff: 8.05
epoch: 1510, loss = 82.121, wins per 10: 7, avg checkers diff: 3.7
epoch: 1520, loss = 58.749, wins per 10: 8, avg checkers diff: 7.9
epoch: 1530, loss = 17.555, wins per 10: 6, avg checkers diff: 5.2
epoch: 1540, loss = 31.430, wins per 10: 7, avg checkers diff: 7.2
epoch: 1550, loss = 54.119, wins per 10: 9, avg checkers diff: 10.0
epoch: 1560, loss = 59.306, wins per 10: 8, avg checkers diff: 6.4
epoch: 1570, loss = 85.078, wins per 10: 7, avg checkers diff: 5.7
epoch: 1580, loss = 135.961, wins per 10: 10, avg checkers diff: 12.9
epoch: 1590, loss = 56.242, wins per 10: 8, avg checkers diff: 5.7
epoch: 1600, loss = 90.745, wins per 100: 74, avg checkers diff: 6.41
finished testing: 78.0 %
