epoch: 10, wins per 10: 4, avg checkers diff: -5.7
epoch: 1320, loss = 140.044, wins per 10: 8, avg checkers diff: 7.3
epoch: 1330, loss = 480.840, wins per 10: 8, avg checkers diff: 9.4
epoch: 1340, loss = 417.213, wins per 10: 7, avg checkers diff: 3.1
epoch: 1350, loss = 512.258, wins per 10: 8, avg checkers diff: 7.2
epoch: 1360, loss = 181.922, wins per 10: 8, avg checkers diff: 7.5
epoch: 1370, loss = 187.631, wins per 10: 8, avg checkers diff: 8.4
epoch: 1380, loss = 492.894, wins per 10: 10, avg checkers diff: 14.2
epoch: 1390, loss = 443.609, wins per 10: 10, avg checkers diff: 13.5
epoch: 1400, loss = 304.826, wins per 100: 84, avg checkers diff: 8.76
finished testing: 76.0 %
epoch: 1410, loss = 383.573, wins per 10: 7, avg checkers diff: 5.4
epoch: 1420, loss = 151.023, wins per 10: 6, avg checkers diff: 4.5
epoch: 1430, loss = 303.352, wins per 10: 6, avg checkers diff: 3.4
epoch: 1440, loss = 299.546, wins per 10: 9, avg checkers diff: 10.0
epoch: 1450, loss = 174.701, wins per 10: 8, avg checkers diff: 10.2
epoch: 1460, loss = 242.215, wins per 10: 8, avg checkers diff: 8.6
epoch: 1470, loss = 316.931, wins per 10: 6, avg checkers diff: 6.0
epoch: 1480, loss = 459.271, wins per 10: 8, avg checkers diff: 6.5
epoch: 1490, loss = 437.029, wins per 10: 7, avg checkers diff: 7.1
epoch: 1500, loss = 247.641, wins per 100: 75, avg checkers diff: 7.63
epoch: 1510, loss = 501.571, wins per 10: 6, avg checkers diff: 5.7
epoch: 1520, loss = 675.917, wins per 10: 9, avg checkers diff: 11.7
epoch: 1530, loss = 269.438, wins per 10: 9, avg checkers diff: 10.2
epoch: 1540, loss = 320.155, wins per 10: 10, avg checkers diff: 12.0
epoch: 1550, loss = 295.451, wins per 10: 9, avg checkers diff: 10.5
epoch: 1560, loss = 519.528, wins per 10: 9, avg checkers diff: 9.4
epoch: 1570, loss = 289.551, wins per 10: 8, avg checkers diff: 10.3
epoch: 1580, loss = 630.943, wins per 10: 8, avg checkers diff: 7.5
epoch: 1590, loss = 287.101, wins per 10: 8, avg checkers diff: 9.9
epoch: 1600, loss = 407.897, wins per 100: 83, avg checkers diff: 9.4
finished testing: 79.0 %
epoch: 1610, loss = 449.621, wins per 10: 10, avg checkers diff: 11.8
epoch: 1620, loss = 309.445, wins per 10: 6, avg checkers diff: 3.3
epoch: 1630, loss = 243.613, wins per 10: 10, avg checkers diff: 11.9
epoch: 1640, loss = 474.198, wins per 10: 9, avg checkers diff: 10.1
epoch: 1650, loss = 550.044, wins per 10: 8, avg checkers diff: 9.3
epoch: 1660, loss = 486.250, wins per 10: 8, avg checkers diff: 8.3
epoch: 1670, loss = 2163.360, wins per 10: 7, avg checkers diff: 8.8
epoch: 1680, loss = 334.762, wins per 10: 9, avg checkers diff: 8.4
epoch: 1690, loss = 597.766, wins per 10: 6, avg checkers diff: 4.1
epoch: 1700, loss = 143.593, wins per 100: 82, avg checkers diff: 8.59
epoch: 1710, loss = 261.501, wins per 10: 9, avg checkers diff: 11.0
epoch: 1720, loss = 716.975, wins per 10: 8, avg checkers diff: 9.4
epoch: 1730, loss = 721.750, wins per 10: 9, avg checkers diff: 12.4
epoch: 1740, loss = 462.679, wins per 10: 8, avg checkers diff: 9.2
epoch: 1750, loss = 687.903, wins per 10: 9, avg checkers diff: 12.8
epoch: 1760, loss = 644.607, wins per 10: 10, avg checkers diff: 10.6
epoch: 1770, loss = 391.706, wins per 10: 8, avg checkers diff: 8.1
epoch: 1780, loss = 967.794, wins per 10: 9, avg checkers diff: 9.4
epoch: 1790, loss = 700.367, wins per 10: 9, avg checkers diff: 10.5
epoch: 1800, loss = 590.276, wins per 100: 86, avg checkers diff: 10.02
finished testing: 81.0 %
epoch: 1810, loss = 556.964, wins per 10: 9, avg checkers diff: 10.6
epoch: 1820, loss = 1120.777, wins per 10: 8, avg checkers diff: 10.6
epoch: 1830, loss = 551.169, wins per 10: 8, avg checkers diff: 9.6
epoch: 1840, loss = 811.056, wins per 10: 10, avg checkers diff: 14.1
epoch: 1850, loss = 783.913, wins per 10: 9, avg checkers diff: 10.8
epoch: 1860, loss = 200.051, wins per 10: 10, avg checkers diff: 13.5
epoch: 1870, loss = 882.024, wins per 10: 7, avg checkers diff: 7.3
epoch: 1880, loss = 522.680, wins per 10: 6, avg checkers diff: 3.5
epoch: 1890, loss = 331.460, wins per 10: 9, avg checkers diff: 10.0
epoch: 1900, loss = 920.582, wins per 100: 84, avg checkers diff: 9.72
epoch: 1910, loss = 482.317, wins per 10: 9, avg checkers diff: 10.3
epoch: 1920, loss = 370.603, wins per 10: 8, avg checkers diff: 7.5
epoch: 1930, loss = 1940.135, wins per 10: 9, avg checkers diff: 13.2
epoch: 1940, loss = 594.329, wins per 10: 9, avg checkers diff: 10.6
epoch: 1950, loss = 1041.797, wins per 10: 9, avg checkers diff: 8.0
epoch: 1960, loss = 1151.348, wins per 10: 10, avg checkers diff: 12.2
epoch: 1970, loss = 793.455, wins per 10: 5, avg checkers diff: 3.1
epoch: 1980, loss = 995.946, wins per 10: 8, avg checkers diff: 8.7
epoch: 1990, loss = 957.085, wins per 10: 8, avg checkers diff: 11.0
epoch: 2000, loss = 536.554, wins per 100: 82, avg checkers diff: 8.89
finished testing: 80.0 %
saved checkpoint
epoch: 2010, loss = 1195.424, wins per 10: 8, avg checkers diff: 6.2
epoch: 2020, loss = 1120.293, wins per 10: 9, avg checkers diff: 11.5
epoch: 2030, loss = 735.599, wins per 10: 8, avg checkers diff: 9.9
epoch: 2040, loss = 1723.979, wins per 10: 9, avg checkers diff: 10.0
epoch: 2050, loss = 759.636, wins per 10: 8, avg checkers diff: 8.7
epoch: 2060, loss = 656.415, wins per 10: 5, avg checkers diff: 0.2
