epoch: 10, wins per 10: 4, avg checkers diff: -4.7
epoch: 20, wins per 10: 2, avg checkers diff: -8.7
epoch: 30, wins per 10: 2, avg checkers diff: -7.3
epoch: 40, wins per 10: 1, avg checkers diff: -12.4
epoch: 50, wins per 10: 3, avg checkers diff: -4.6
epoch: 60, wins per 10: 3, avg checkers diff: -6.4
epoch: 1590, loss = 1.181, wins per 10: 3, avg checkers diff: -5.5
epoch: 1600, loss = 0.489, wins per 10: 3, avg checkers diff: -4.9
finished testing
epoch: 1610, loss = 2.907, wins per 10: 2, avg checkers diff: -8.7
epoch: 1620, loss = 2.047, wins per 10: 1, avg checkers diff: -11.6
epoch: 1630, loss = 0.985, wins per 10: 4, avg checkers diff: -3.4
epoch: 1640, loss = 0.935, wins per 10: 3, avg checkers diff: -5.9
epoch: 1650, loss = 1.800, wins per 10: 1, avg checkers diff: -11.1
epoch: 1660, loss = 1.284, wins per 10: 2, avg checkers diff: -7.1
epoch: 1670, loss = 1.077, wins per 10: 3, avg checkers diff: -7.0
epoch: 1680, loss = 1.371, wins per 10: 0, avg checkers diff: -12.1
epoch: 1690, loss = 0.937, wins per 10: 6, avg checkers diff: 2.8
epoch: 1700, loss = 3.553, wins per 10: 2, avg checkers diff: -7.0
epoch: 1710, loss = 1.680, wins per 10: 3, avg checkers diff: -5.5
epoch: 1720, loss = 6.504, wins per 10: 1, avg checkers diff: -11.2
epoch: 1730, loss = 3.665, wins per 10: 4, avg checkers diff: -4.3
epoch: 1740, loss = 1.149, wins per 10: 0, avg checkers diff: -12.8
epoch: 1750, loss = 3.621, wins per 10: 2, avg checkers diff: -7.5
epoch: 1760, loss = 1.260, wins per 10: 1, avg checkers diff: -10.5
epoch: 1770, loss = 5.141, wins per 10: 5, avg checkers diff: -0.9
epoch: 1780, loss = 1.003, wins per 10: 3, avg checkers diff: -4.9
epoch: 1790, loss = 2.416, wins per 10: 5, avg checkers diff: -0.7
epoch: 1800, loss = 1.928, wins per 10: 3, avg checkers diff: -6.0
finished testing
epoch: 1810, loss = 2.305, wins per 10: 3, avg checkers diff: -6.0
epoch: 1820, loss = 3.707, wins per 10: 4, avg checkers diff: -3.7
