epoch: 10, wins per 10: 9, avg checkers diff: 9.0
epoch: 20, wins per 10: 6, avg checkers diff: 3.7
epoch: 30, wins per 10: 8, avg checkers diff: 7.8
epoch: 40, wins per 10: 6, avg checkers diff: 3.3
epoch: 50, wins per 10: 10, avg checkers diff: 12.3
epoch: 60, wins per 10: 8, avg checkers diff: 7.9
epoch: 70, wins per 10: 7, avg checkers diff: 7.3
epoch: 80, wins per 10: 8, avg checkers diff: 9.4
epoch: 90, wins per 10: 7, avg checkers diff: 6.5
epoch: 1440, loss = 4.857, wins per 10: 9, avg checkers diff: 7.4
epoch: 1450, loss = 2.797, wins per 10: 10, avg checkers diff: 11.0
epoch: 1460, loss = 5.092, wins per 10: 8, avg checkers diff: 7.4
epoch: 1470, loss = 5.006, wins per 10: 4, avg checkers diff: 0.9
epoch: 1480, loss = 5.173, wins per 10: 7, avg checkers diff: 5.8
epoch: 1490, loss = 3.129, wins per 10: 5, avg checkers diff: 4.9
epoch: 1500, loss = 6.808, wins per 10: 6, avg checkers diff: 1.8
epoch: 1510, loss = 5.654, wins per 10: 9, avg checkers diff: 10.7
epoch: 1520, loss = 4.803, wins per 10: 8, avg checkers diff: 8.6
epoch: 1530, loss = 3.005, wins per 10: 5, avg checkers diff: 2.9
epoch: 1540, loss = 2.926, wins per 10: 5, avg checkers diff: 2.2
epoch: 1550, loss = 3.953, wins per 10: 9, avg checkers diff: 9.4
epoch: 1560, loss = 4.162, wins per 10: 8, avg checkers diff: 6.0
epoch: 1570, loss = 4.938, wins per 10: 9, avg checkers diff: 9.7
epoch: 1580, loss = 4.999, wins per 10: 8, avg checkers diff: 8.2
epoch: 1590, loss = 5.164, wins per 10: 8, avg checkers diff: 9.1
epoch: 1600, loss = 1.996, wins per 10: 7, avg checkers diff: 4.3
finished testing
epoch: 1610, loss = 6.443, wins per 10: 5, avg checkers diff: 1.3
epoch: 1620, loss = 4.685, wins per 10: 5, avg checkers diff: 4.3
epoch: 1630, loss = 5.077, wins per 10: 6, avg checkers diff: 2.3
epoch: 1640, loss = 2.284, wins per 10: 7, avg checkers diff: 4.9
epoch: 1650, loss = 5.778, wins per 10: 5, avg checkers diff: 1.7
epoch: 1660, loss = 5.310, wins per 10: 5, avg checkers diff: 2.9
epoch: 1670, loss = 6.387, wins per 10: 7, avg checkers diff: 6.4
epoch: 1680, loss = 2.552, wins per 10: 8, avg checkers diff: 7.4
epoch: 1690, loss = 3.521, wins per 10: 7, avg checkers diff: 7.0
epoch: 1700, loss = 1.138, wins per 10: 7, avg checkers diff: 6.5
epoch: 1710, loss = 4.447, wins per 10: 6, avg checkers diff: 4.6
epoch: 1720, loss = 12.606, wins per 10: 7, avg checkers diff: 1.8
epoch: 1730, loss = 2.364, wins per 10: 6, avg checkers diff: 5.2
epoch: 1740, loss = 3.311, wins per 10: 9, avg checkers diff: 6.6
epoch: 1750, loss = 6.369, wins per 10: 7, avg checkers diff: 5.0
epoch: 1760, loss = 3.567, wins per 10: 8, avg checkers diff: 7.8
epoch: 1770, loss = 4.913, wins per 10: 9, avg checkers diff: 8.3
epoch: 1780, loss = 3.341, wins per 10: 7, avg checkers diff: 6.0
epoch: 1790, loss = 2.264, wins per 10: 5, avg checkers diff: 0.2
epoch: 1800, loss = 7.629, wins per 10: 9, avg checkers diff: 9.6
finished testing
epoch: 1810, loss = 2.170, wins per 10: 7, avg checkers diff: 3.5
epoch: 1820, loss = 3.282, wins per 10: 4, avg checkers diff: -1.2
epoch: 1830, loss = 7.455, wins per 10: 6, avg checkers diff: 4.1
epoch: 1840, loss = 2.274, wins per 10: 9, avg checkers diff: 10.2
epoch: 1850, loss = 5.246, wins per 10: 6, avg checkers diff: 2.2
epoch: 1860, loss = 4.320, wins per 10: 10, avg checkers diff: 11.4
epoch: 1870, loss = 4.360, wins per 10: 8, avg checkers diff: 9.6
epoch: 1880, loss = 4.893, wins per 10: 8, avg checkers diff: 7.8
epoch: 1890, loss = 4.962, wins per 10: 6, avg checkers diff: 4.7
epoch: 1900, loss = 4.047, wins per 10: 6, avg checkers diff: 0.9
epoch: 1910, loss = 2.090, wins per 10: 7, avg checkers diff: 3.7
epoch: 1920, loss = 3.702, wins per 10: 7, avg checkers diff: 6.0
epoch: 1930, loss = 3.603, wins per 10: 6, avg checkers diff: 4.1
epoch: 1940, loss = 6.681, wins per 10: 7, avg checkers diff: 5.9
epoch: 1950, loss = 10.341, wins per 10: 9, avg checkers diff: 8.4
epoch: 1960, loss = 3.497, wins per 10: 5, avg checkers diff: 2.2
epoch: 1970, loss = 6.045, wins per 10: 8, avg checkers diff: 8.8
epoch: 1980, loss = 6.552, wins per 10: 9, avg checkers diff: 12.2
epoch: 1990, loss = 9.053, wins per 10: 7, avg checkers diff: 2.8
epoch: 2000, loss = 5.250, wins per 10: 7, avg checkers diff: 3.9
finished testing
saved checkpoint
epoch: 2010, loss = 4.354, wins per 10: 7, avg checkers diff: 2.9
epoch: 2020, loss = 3.455, wins per 10: 5, avg checkers diff: 3.7
epoch: 2030, loss = 3.509, wins per 10: 7, avg checkers diff: 4.2
epoch: 2040, loss = 3.028, wins per 10: 8, avg checkers diff: 9.5
epoch: 2050, loss = 3.621, wins per 10: 8, avg checkers diff: 7.7
epoch: 2060, loss = 2.381, wins per 10: 8, avg checkers diff: 7.4
epoch: 2070, loss = 3.850, wins per 10: 9, avg checkers diff: 9.7
epoch: 2080, loss = 2.359, wins per 10: 6, avg checkers diff: 5.8
epoch: 2090, loss = 6.016, wins per 10: 7, avg checkers diff: 2.8
epoch: 2100, loss = 3.890, wins per 10: 9, avg checkers diff: 9.3
epoch: 2110, loss = 4.622, wins per 10: 7, avg checkers diff: 6.0
epoch: 2120, loss = 3.508, wins per 10: 8, avg checkers diff: 5.9
epoch: 2130, loss = 7.128, wins per 10: 7, avg checkers diff: 7.1
epoch: 2140, loss = 6.976, wins per 10: 7, avg checkers diff: 7.5
