epoch: 10, wins per 10: 9, avg checkers diff: 10.5
epoch: 1790, loss = 3.270, wins per 10: 9, avg checkers diff: 8.9
epoch: 1800, loss = 11.062, wins per 100: 78, avg checkers diff: 7.61
finished testing: 79.0 %
epoch: 1810, loss = 5.551, wins per 10: 9, avg checkers diff: 7.7
epoch: 1820, loss = 4.447, wins per 10: 8, avg checkers diff: 9.0
epoch: 1830, loss = 5.179, wins per 10: 8, avg checkers diff: 9.9
epoch: 1840, loss = 2.611, wins per 10: 8, avg checkers diff: 8.1
epoch: 1850, loss = 2.709, wins per 10: 9, avg checkers diff: 9.8
epoch: 1860, loss = 9.113, wins per 10: 9, avg checkers diff: 9.0
epoch: 1870, loss = 5.794, wins per 10: 9, avg checkers diff: 13.1
epoch: 1880, loss = 3.901, wins per 10: 7, avg checkers diff: 6.9
epoch: 1890, loss = 6.738, wins per 10: 4, avg checkers diff: -1.5
epoch: 1900, loss = 19.923, wins per 100: 77, avg checkers diff: 7.43
epoch: 1910, loss = 3.413, wins per 10: 8, avg checkers diff: 6.6
epoch: 1920, loss = 3.989, wins per 10: 8, avg checkers diff: 8.8
epoch: 1930, loss = 5.393, wins per 10: 10, avg checkers diff: 13.5
epoch: 1940, loss = 4.224, wins per 10: 9, avg checkers diff: 12.0
epoch: 1950, loss = 6.731, wins per 10: 9, avg checkers diff: 9.6
epoch: 1960, loss = 3.724, wins per 10: 9, avg checkers diff: 10.1
epoch: 1970, loss = 8.669, wins per 10: 8, avg checkers diff: 8.3
epoch: 1980, loss = 2.694, wins per 10: 9, avg checkers diff: 11.5
epoch: 1990, loss = 6.491, wins per 10: 8, avg checkers diff: 5.6
epoch: 2000, loss = 8.212, wins per 100: 86, avg checkers diff: 9.24
finished testing: 79.0 %
saved checkpoint
epoch: 2010, loss = 2.205, wins per 10: 6, avg checkers diff: 0.7
epoch: 2020, loss = 2.960, wins per 10: 4, avg checkers diff: 0.4
epoch: 2030, loss = 5.185, wins per 10: 10, avg checkers diff: 11.2
epoch: 2040, loss = 4.775, wins per 10: 8, avg checkers diff: 8.4
epoch: 2050, loss = 3.628, wins per 10: 8, avg checkers diff: 4.9
epoch: 2060, loss = 7.289, wins per 10: 8, avg checkers diff: 8.2
epoch: 2070, loss = 3.849, wins per 10: 6, avg checkers diff: 4.4
epoch: 2080, loss = 8.750, wins per 10: 9, avg checkers diff: 8.2
epoch: 2090, loss = 7.747, wins per 10: 10, avg checkers diff: 9.8
epoch: 2100, loss = 3.889, wins per 100: 77, avg checkers diff: 6.48
epoch: 2110, loss = 3.553, wins per 10: 8, avg checkers diff: 5.4
epoch: 2120, loss = 3.011, wins per 10: 7, avg checkers diff: 4.4
epoch: 2130, loss = 8.513, wins per 10: 10, avg checkers diff: 10.9
