epoch: 2270, loss = 9.280, wins per 10: 4, avg checkers diff: -5.6
epoch: 2280, loss = 3.637, wins per 10: 5, avg checkers diff: 1.6
epoch: 2290, loss = 4.999, wins per 10: 3, avg checkers diff: -6.4
epoch: 2300, loss = 3.824, wins per 100: 33, avg checkers diff: -3.87
epoch: 2310, loss = 3.872, wins per 10: 4, avg checkers diff: -2.0
epoch: 2320, loss = 13.798, wins per 10: 2, avg checkers diff: -8.9
epoch: 2330, loss = 3.825, wins per 10: 2, avg checkers diff: -8.3
epoch: 2340, loss = 3.984, wins per 10: 1, avg checkers diff: -9.2
epoch: 2350, loss = 1.616, wins per 10: 3, avg checkers diff: -5.6
epoch: 2360, loss = 2.266, wins per 10: 3, avg checkers diff: -5.3
epoch: 2370, loss = 7.728, wins per 10: 1, avg checkers diff: -9.6
epoch: 2380, loss = 4.580, wins per 10: 4, avg checkers diff: -3.4
epoch: 2390, loss = 1.593, wins per 10: 5, avg checkers diff: -2.6
epoch: 2400, loss = 2.910, wins per 100: 25, avg checkers diff: -6.66
finished testing: 20.0 %
epoch: 2410, loss = 2.429, wins per 10: 3, avg checkers diff: -4.5
epoch: 2420, loss = 8.996, wins per 10: 4, avg checkers diff: -2.4
epoch: 2430, loss = 4.020, wins per 10: 2, avg checkers diff: -8.3
epoch: 2440, loss = 5.437, wins per 10: 3, avg checkers diff: -5.9
epoch: 2450, loss = 5.423, wins per 10: 4, avg checkers diff: -4.9
epoch: 2460, loss = 15.961, wins per 10: 4, avg checkers diff: -0.6
epoch: 2470, loss = 3.368, wins per 10: 2, avg checkers diff: -5.2
epoch: 2480, loss = 9.474, wins per 10: 2, avg checkers diff: -8.2
epoch: 2490, loss = 3.059, wins per 10: 3, avg checkers diff: -3.9
epoch: 2500, loss = 6.454, wins per 100: 30, avg checkers diff: -5.02
epoch: 2510, loss = 7.309, wins per 10: 2, avg checkers diff: -4.9
epoch: 2520, loss = 3.038, wins per 10: 3, avg checkers diff: -7.1
epoch: 2530, loss = 6.771, wins per 10: 2, avg checkers diff: -8.6
epoch: 2540, loss = 4.220, wins per 10: 1, avg checkers diff: -9.6
epoch: 2550, loss = 6.150, wins per 10: 3, avg checkers diff: -8.5
epoch: 2560, loss = 5.057, wins per 10: 2, avg checkers diff: -7.9
epoch: 2570, loss = 13.827, wins per 10: 3, avg checkers diff: -5.9
epoch: 2580, loss = 7.275, wins per 10: 1, avg checkers diff: -10.4
epoch: 2590, loss = 5.063, wins per 10: 3, avg checkers diff: -3.0
epoch: 2600, loss = 7.631, wins per 100: 23, avg checkers diff: -7.01
finished testing: 31.0 %
epoch: 2610, loss = 5.583, wins per 10: 3, avg checkers diff: -8.0
epoch: 2620, loss = 3.673, wins per 10: 3, avg checkers diff: -5.5
epoch: 2630, loss = 5.109, wins per 10: 3, avg checkers diff: -7.0
epoch: 2640, loss = 9.303, wins per 10: 2, avg checkers diff: -8.5
epoch: 2650, loss = 6.437, wins per 10: 2, avg checkers diff: -8.6
epoch: 2660, loss = 7.396, wins per 10: 2, avg checkers diff: -7.7
epoch: 2670, loss = 7.322, wins per 10: 5, avg checkers diff: 1.4
epoch: 2680, loss = 4.450, wins per 10: 5, avg checkers diff: -1.9
epoch: 2690, loss = 3.038, wins per 10: 1, avg checkers diff: -10.2
epoch: 2700, loss = 11.641, wins per 100: 27, avg checkers diff: -6.56
epoch: 2710, loss = 8.063, wins per 10: 1, avg checkers diff: -10.1
epoch: 2720, loss = 3.630, wins per 10: 5, avg checkers diff: -1.0
epoch: 2730, loss = 2.313, wins per 10: 3, avg checkers diff: -5.3
epoch: 2740, loss = 2.877, wins per 10: 2, avg checkers diff: -9.0
epoch: 2750, loss = 8.566, wins per 10: 2, avg checkers diff: -4.3
epoch: 2760, loss = 6.604, wins per 10: 2, avg checkers diff: -7.0
epoch: 2770, loss = 3.502, wins per 10: 2, avg checkers diff: -7.3
epoch: 2780, loss = 2.809, wins per 10: 3, avg checkers diff: -3.9
epoch: 2790, loss = 2.425, wins per 10: 3, avg checkers diff: -5.2
epoch: 2800, loss = 8.737, wins per 100: 24, avg checkers diff: -6.16
finished testing: 26.0 %
epoch: 2810, loss = 2.277, wins per 10: 4, avg checkers diff: -2.5
epoch: 2820, loss = 4.101, wins per 10: 1, avg checkers diff: -9.0
epoch: 2830, loss = 3.473, wins per 10: 1, avg checkers diff: -8.9
epoch: 2840, loss = 2.852, wins per 10: 3, avg checkers diff: -2.7
epoch: 2850, loss = 5.485, wins per 10: 1, avg checkers diff: -8.8
epoch: 2860, loss = 10.960, wins per 10: 3, avg checkers diff: -7.2
epoch: 2870, loss = 3.491, wins per 10: 2, avg checkers diff: -7.6
epoch: 2880, loss = 8.161, wins per 10: 3, avg checkers diff: -2.3
epoch: 2890, loss = 6.043, wins per 10: 3, avg checkers diff: -6.1
epoch: 2900, loss = 4.378, wins per 100: 25, avg checkers diff: -5.76
epoch: 2910, loss = 6.435, wins per 10: 2, avg checkers diff: -9.1
epoch: 2920, loss = 3.831, wins per 10: 5, avg checkers diff: -0.9
epoch: 2930, loss = 5.063, wins per 10: 4, avg checkers diff: -1.9
epoch: 2940, loss = 4.118, wins per 10: 6, avg checkers diff: 3.7
epoch: 2950, loss = 8.289, wins per 10: 4, avg checkers diff: -3.1
epoch: 2960, loss = 6.777, wins per 10: 2, avg checkers diff: -6.2
epoch: 2970, loss = 5.782, wins per 10: 2, avg checkers diff: -6.7
epoch: 2980, loss = 2.222, wins per 10: 5, avg checkers diff: -1.5
epoch: 2990, loss = 3.967, wins per 10: 3, avg checkers diff: -5.2
epoch: 3000, loss = 2.212, wins per 100: 37, avg checkers diff: -3.43
finished testing: 19.0 %
saved checkpoint
epoch: 3010, loss = 3.998, wins per 10: 4, avg checkers diff: -2.2
epoch: 3020, loss = 8.924, wins per 10: 4, avg checkers diff: -1.8
epoch: 3030, loss = 15.006, wins per 10: 1, avg checkers diff: -11.7
epoch: 3040, loss = 1.633, wins per 10: 2, avg checkers diff: -7.3
epoch: 3050, loss = 2.233, wins per 10: 2, avg checkers diff: -8.9
epoch: 3060, loss = 3.267, wins per 10: 3, avg checkers diff: -5.0
epoch: 3070, loss = 5.044, wins per 10: 3, avg checkers diff: -5.3
epoch: 3080, loss = 3.809, wins per 10: 3, avg checkers diff: -5.4
epoch: 3090, loss = 3.593, wins per 10: 2, avg checkers diff: -5.6
epoch: 3100, loss = 4.026, wins per 100: 26, avg checkers diff: -5.98
epoch: 3110, loss = 6.597, wins per 10: 2, avg checkers diff: -8.4
epoch: 3120, loss = 7.476, wins per 10: 1, avg checkers diff: -10.4
epoch: 3130, loss = 6.435, wins per 10: 1, avg checkers diff: -9.2
epoch: 3140, loss = 4.968, wins per 10: 2, avg checkers diff: -5.9
epoch: 3150, loss = 3.910, wins per 10: 0, avg checkers diff: -12.4
epoch: 3160, loss = 5.375, wins per 10: 3, avg checkers diff: -7.1
epoch: 3170, loss = 4.885, wins per 10: 2, avg checkers diff: -7.8
epoch: 3180, loss = 2.080, wins per 10: 3, avg checkers diff: -4.5
epoch: 3190, loss = 4.657, wins per 10: 3, avg checkers diff: -7.2
epoch: 3200, loss = 2.776, wins per 100: 19, avg checkers diff: -8.1
finished testing: 26.0 %
epoch: 3210, loss = 1.778, wins per 10: 1, avg checkers diff: -8.7
epoch: 3220, loss = 2.454, wins per 10: 4, avg checkers diff: -4.2
epoch: 3230, loss = 3.041, wins per 10: 3, avg checkers diff: -4.3
epoch: 3240, loss = 3.023, wins per 10: 2, avg checkers diff: -5.5
epoch: 3250, loss = 10.458, wins per 10: 2, avg checkers diff: -6.9
epoch: 3260, loss = 5.002, wins per 10: 6, avg checkers diff: -1.2
epoch: 3270, loss = 3.561, wins per 10: 1, avg checkers diff: -8.8
epoch: 3280, loss = 3.259, wins per 10: 3, avg checkers diff: -6.0
epoch: 3290, loss = 1.952, wins per 10: 3, avg checkers diff: -5.4
epoch: 3300, loss = 10.664, wins per 100: 28, avg checkers diff: -5.71
