epoch: 10, wins per 10: 4, avg checkers diff: -5.0
epoch: 20, wins per 10: 4, avg checkers diff: -3.4
epoch: 30, wins per 10: 6, avg checkers diff: 5.6
epoch: 40, wins per 10: 6, avg checkers diff: 1.9
epoch: 50, wins per 10: 4, avg checkers diff: -4.3
epoch: 60, wins per 10: 8, avg checkers diff: 9.3
epoch: 70, wins per 10: 4, avg checkers diff: -2.1
epoch: 80, wins per 10: 5, avg checkers diff: 3.3
epoch: 90, wins per 10: 6, avg checkers diff: 1.1
epoch: 1090, loss = 3.405, wins per 10: 6, avg checkers diff: 3.7
epoch: 1100, loss = 1.657, wins per 10: 5, avg checkers diff: 0.4
epoch: 1110, loss = 1.127, wins per 10: 8, avg checkers diff: 5.4
epoch: 1120, loss = 1.527, wins per 10: 7, avg checkers diff: 4.6
epoch: 1130, loss = 6.484, wins per 10: 8, avg checkers diff: 7.5
epoch: 1140, loss = 3.227, wins per 10: 8, avg checkers diff: 6.3
epoch: 1150, loss = 3.333, wins per 10: 9, avg checkers diff: 10.1
epoch: 1160, loss = 2.383, wins per 10: 7, avg checkers diff: 4.2
epoch: 1170, loss = 2.178, wins per 10: 9, avg checkers diff: 9.9
epoch: 1180, loss = 3.175, wins per 10: 8, avg checkers diff: 7.0
epoch: 1190, loss = 5.984, wins per 10: 6, avg checkers diff: 5.2
epoch: 1200, loss = 3.502, wins per 10: 8, avg checkers diff: 6.7
finished testing
epoch: 1210, loss = 4.182, wins per 10: 8, avg checkers diff: 6.7
epoch: 1220, loss = 1.622, wins per 10: 3, avg checkers diff: -2.3
epoch: 1230, loss = 3.062, wins per 10: 6, avg checkers diff: 4.7
epoch: 1240, loss = 4.644, wins per 10: 6, avg checkers diff: 3.4
epoch: 1250, loss = 1.016, wins per 10: 10, avg checkers diff: 14.8
epoch: 1260, loss = 1.561, wins per 10: 5, avg checkers diff: 0.1
epoch: 1270, loss = 2.169, wins per 10: 7, avg checkers diff: 5.2
epoch: 1280, loss = 1.800, wins per 10: 7, avg checkers diff: 5.1
epoch: 1290, loss = 1.614, wins per 10: 8, avg checkers diff: 7.8
epoch: 1300, loss = 1.884, wins per 10: 7, avg checkers diff: 5.1
epoch: 1310, loss = 6.134, wins per 10: 8, avg checkers diff: 7.1
epoch: 1320, loss = 2.493, wins per 10: 8, avg checkers diff: 5.5
epoch: 1330, loss = 3.918, wins per 10: 7, avg checkers diff: 7.1
epoch: 1340, loss = 1.860, wins per 10: 5, avg checkers diff: 0.7
epoch: 1350, loss = 2.798, wins per 10: 6, avg checkers diff: 4.5
epoch: 1360, loss = 9.730, wins per 10: 6, avg checkers diff: 2.2
epoch: 1370, loss = 1.691, wins per 10: 5, avg checkers diff: 0.6
epoch: 1380, loss = 3.677, wins per 10: 6, avg checkers diff: 2.2
