C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch: 1420, loss = 3.925, wins per 10: 5, avg checkers diff: -0.7
epoch: 1430, loss = 2.804, wins per 10: 2, avg checkers diff: -8.2
epoch: 1440, loss = 4.711, wins per 10: 3, avg checkers diff: -3.5
epoch: 1450, loss = 3.099, wins per 10: 7, avg checkers diff: 3.9
epoch: 1460, loss = 4.226, wins per 10: 2, avg checkers diff: -8.4
epoch: 1470, loss = 3.494, wins per 10: 3, avg checkers diff: -5.9
epoch: 1480, loss = 3.608, wins per 10: 3, avg checkers diff: -4.0
epoch: 1490, loss = 2.103, wins per 10: 3, avg checkers diff: -5.8
epoch: 1500, loss = 3.037, wins per 100: 35, avg checkers diff: -3.88
epoch: 1510, loss = 3.474, wins per 10: 4, avg checkers diff: -1.6
epoch: 1520, loss = 2.970, wins per 10: 3, avg checkers diff: -3.7
epoch: 1530, loss = 4.595, wins per 10: 3, avg checkers diff: -4.8
epoch: 1540, loss = 5.644, wins per 10: 7, avg checkers diff: 2.4
epoch: 1550, loss = 2.939, wins per 10: 5, avg checkers diff: 1.3
epoch: 1560, loss = 2.424, wins per 10: 3, avg checkers diff: -3.4
epoch: 1570, loss = 6.710, wins per 10: 2, avg checkers diff: -6.1
epoch: 1580, loss = 3.938, wins per 10: 3, avg checkers diff: -4.2
epoch: 1590, loss = 6.970, wins per 10: 4, avg checkers diff: -1.4
epoch: 1600, loss = 5.084, wins per 100: 38, avg checkers diff: -2.29
finished testing: 45.33333333333333 %
epoch: 1610, loss = 6.298, wins per 10: 6, avg checkers diff: 4.5
epoch: 1620, loss = 12.089, wins per 10: 6, avg checkers diff: 3.2
epoch: 1630, loss = 5.879, wins per 10: 6, avg checkers diff: 0.2
epoch: 1640, loss = 9.318, wins per 10: 6, avg checkers diff: 2.1
epoch: 1650, loss = 7.242, wins per 10: 2, avg checkers diff: -4.2
epoch: 1660, loss = 13.693, wins per 10: 4, avg checkers diff: -3.8
epoch: 1670, loss = 7.810, wins per 10: 3, avg checkers diff: -2.5
epoch: 1680, loss = 7.309, wins per 10: 5, avg checkers diff: -1.0
epoch: 1690, loss = 6.013, wins per 10: 5, avg checkers diff: -1.6
epoch: 1700, loss = 5.270, wins per 100: 47, avg checkers diff: -0.32
epoch: 1710, loss = 9.540, wins per 10: 3, avg checkers diff: -0.1
epoch: 1720, loss = 11.812, wins per 10: 3, avg checkers diff: -2.9
epoch: 1730, loss = 14.481, wins per 10: 4, avg checkers diff: -4.5
epoch: 1740, loss = 6.280, wins per 10: 3, avg checkers diff: -5.2
epoch: 1750, loss = 7.264, wins per 10: 3, avg checkers diff: -2.5
epoch: 1760, loss = 3.875, wins per 10: 6, avg checkers diff: 3.5
epoch: 1770, loss = 6.315, wins per 10: 5, avg checkers diff: 1.8
epoch: 1780, loss = 7.937, wins per 10: 4, avg checkers diff: 0.0
epoch: 1790, loss = 13.007, wins per 10: 4, avg checkers diff: -2.8
epoch: 1800, loss = 6.311, wins per 100: 42, avg checkers diff: -0.82
finished testing: 43.0 %
epoch: 1810, loss = 8.524, wins per 10: 6, avg checkers diff: 1.9
epoch: 1820, loss = 16.042, wins per 10: 6, avg checkers diff: 2.9
epoch: 1830, loss = 9.790, wins per 10: 3, avg checkers diff: -4.0
epoch: 1840, loss = 6.503, wins per 10: 5, avg checkers diff: -0.4
epoch: 1850, loss = 8.648, wins per 10: 3, avg checkers diff: -2.4
epoch: 1860, loss = 18.645, wins per 10: 2, avg checkers diff: -6.9
epoch: 1870, loss = 13.653, wins per 10: 4, avg checkers diff: -2.6
epoch: 1880, loss = 12.795, wins per 10: 3, avg checkers diff: -4.2
epoch: 1890, loss = 10.140, wins per 10: 2, avg checkers diff: -7.1
epoch: 1900, loss = 18.404, wins per 100: 40, avg checkers diff: -1.97
epoch: 1910, loss = 20.573, wins per 10: 5, avg checkers diff: -3.7
epoch: 1920, loss = 21.052, wins per 10: 8, avg checkers diff: 3.7
epoch: 1930, loss = 6.958, wins per 10: 4, avg checkers diff: -2.1
epoch: 1940, loss = 13.111, wins per 10: 5, avg checkers diff: -1.2
epoch: 1950, loss = 35.210, wins per 10: 5, avg checkers diff: 0.5
epoch: 1960, loss = 50.261, wins per 10: 5, avg checkers diff: -0.7
epoch: 1970, loss = 47.537, wins per 10: 7, avg checkers diff: 2.2
epoch: 1980, loss = 9.996, wins per 10: 5, avg checkers diff: -3.0
epoch: 1990, loss = 24.356, wins per 10: 5, avg checkers diff: 0.9
epoch: 2000, loss = 28.048, wins per 100: 56, avg checkers diff: 0.24
finished testing: 38.666666666666664 %
saved checkpoint
epoch: 2010, loss = 32.842, wins per 10: 4, avg checkers diff: -3.4
epoch: 2020, loss = 30.935, wins per 10: 3, avg checkers diff: -7.0
epoch: 2030, loss = 23.738, wins per 10: 5, avg checkers diff: -2.9
epoch: 2040, loss = 11.935, wins per 10: 3, avg checkers diff: -5.7
epoch: 2050, loss = 34.553, wins per 10: 3, avg checkers diff: -4.8
epoch: 2060, loss = 35.479, wins per 10: 5, avg checkers diff: 1.5
epoch: 2070, loss = 12.904, wins per 10: 1, avg checkers diff: -9.2
